"92";"CYMW";"YMW";"Maniwaki";"Maniwaki";"Canada";"46,27";"-75,99";"656";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"93";"CYMX";"YMX";"Montreal Intl Mirabel";"Montreal";"Canada";"45,68";"-74";"270";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"94";"CYNA";"YNA";"Natashquan";"Natashquan";"Canada";"50,19";"-61,78";"39";"-4";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"95";"CYND";"YND";"Gatineau";"Canada";"45,52";"-75,56";"211";"-5";;;;"0";"0";"0";"0";;;"0";"0";"gatineau-gatineau";"0";"1";"05/11/13 10:21";"0";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"96";"CYNM";"YNM";"Matagami";"Matagami";"Canada";"49,76";"-77,8";"918";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"97";"CYOC";"YOC";"Old Crow";"Old Crow";"Canada";"67,57";"-139,83";"824";"-8";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"98";"CYOD";"YOD";"Cold Lake";"Cold Lake";"Canada";"54,4";"-110,27";"1775";"-7";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"99";"CYOJ";"YOJ";"High Level";"High Level";"Canada";"58,62";"-117,16";"1110";"-7";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"100";"CYOW";"YOW";"Ottawa Macdonald Cartier Intl";"Ottawa";"Canada";"45,32";"-75,66";"374";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"101";"CYPA";"YPA";"Prince Albert Glass Field";"Prince Albert";"Canada";"53,21";"-105,67";"1405";"-6";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"102";"CYPE";"YPE";"Peace River";"Peace River";"Canada";"56,22";"-117,44";"1873";"-7";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"103";"CYPG";"YPG";"Southport";"Portage-la-prairie";"Canada";"49,9";"-98,27";"885";"-6";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"104";"CYPK";;"Pitt Meadows";"Pitt Meadows";"Canada";"49,21";"-122,71";"11";"-8";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"105";"CYPL";"YPL";"Pickle Lake";"Pickle Lake";"Canada";"51,44";"-90,21";"1267";"-6";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"106";"CYPN";"YPN";"Port Menier";"Port Menier";"Canada";"49,83";"-64,28";"167";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"107";"CYPQ";"YPQ";"Peterborough";"Peterborough";"Canada";"44,23";"-78,36";"628";"-5";;;;"0";"0";"0";;;;"0";"0";"0";"main::fr_FR";"1";"5";;;"0";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
